INFO:Worker:Starting Worker
INFO:Worker:Starting Worker
INFO:root:episode     0 complete - reward(new:112799500, avg:60480178, best:397439100)
INFO:root:episode     0 complete - reward(new:7632900, avg:59951705, best:397439100)
INFO:root:episode     0 complete - reward(new:36410700, avg:59716295, best:397439100)
INFO:root:episode     0 complete - reward(new:8854100, avg:59207673, best:397439100)
INFO:root:episode     0 complete - reward(new:73928700, avg:59354883, best:397439100)
INFO:root:episode     0 complete - reward(new:11764000, avg:58878974, best:397439100)
INFO:root:episode     0 complete - reward(new:64139700, avg:58931582, best:397439100)
INFO:root:episode     0 complete - reward(new:100445600, avg:59346722, best:397439100)
INFO:root:episode     0 complete - reward(new:9064100, avg:58843896, best:397439100)
INFO:root:episode     0 complete - reward(new:9291200, avg:58348369, best:397439100)
INFO:root:episode     0 complete - reward(new:51669200, avg:58281577, best:397439100)
INFO:root:episode     0 complete - reward(new:9778500, avg:57796546, best:397439100)
INFO:root:episode     0 complete - reward(new:266876200, avg:59887343, best:397439100)
INFO:root:episode     0 complete - reward(new:197216500, avg:61260634, best:397439100)
INFO:root:episode     0 complete - reward(new:105971900, avg:61707747, best:397439100)
INFO:root:episode     0 complete - reward(new:8264300, avg:61173312, best:397439100)
INFO:root:episode     0 complete - reward(new:57708300, avg:61138662, best:397439100)
INFO:root:episode     0 complete - reward(new:198449500, avg:62511771, best:397439100)
INFO:root:episode     0 complete - reward(new:103303100, avg:62919684, best:397439100)
INFO:root:episode     0 complete - reward(new:46777900, avg:62758266, best:397439100)
INFO:root:episode     0 complete - reward(new:42261000, avg:62553293, best:397439100)
INFO:root:episode     0 complete - reward(new:73079000, avg:62658551, best:397439100)
INFO:root:episode     0 complete - reward(new:37057100, avg:62402536, best:397439100)
INFO:root:episode     0 complete - reward(new:96688500, avg:62745396, best:397439100)
INFO:root:episode     0 complete - reward(new:120177200, avg:63319714, best:397439100)
INFO:root:episode     0 complete - reward(new:107246100, avg:63758978, best:397439100)
INFO:root:episode     0 complete - reward(new:234287700, avg:65464265, best:397439100)
INFO:root:episode     0 complete - reward(new:73351700, avg:65543139, best:397439100)
INFO:root:episode     0 complete - reward(new:6813300, avg:64955841, best:397439100)
INFO:root:episode     0 complete - reward(new:15090500, avg:64457187, best:397439100)
INFO:root:episode     0 complete - reward(new:78342700, avg:64596042, best:397439100)
INFO:root:episode     0 complete - reward(new:87318400, avg:64823266, best:397439100)
INFO:root:episode     0 complete - reward(new:211589700, avg:66290930, best:397439100)
INFO:root:episode     0 complete - reward(new:215663800, avg:67784659, best:397439100)
INFO:root:episode     0 complete - reward(new:118218400, avg:68288996, best:397439100)
INFO:root:episode     0 complete - reward(new:12938400, avg:67735491, best:397439100)
INFO:root:episode     0 complete - reward(new:57032000, avg:67628456, best:397439100)
INFO:root:episode     0 complete - reward(new:103636100, avg:67988532, best:397439100)
INFO:root:episode     0 complete - reward(new:100404600, avg:68312693, best:397439100)
INFO:root:episode     0 complete - reward(new:86308700, avg:68492653, best:397439100)
INFO:root:episode     0 complete - reward(new:50709900, avg:68314825, best:397439100)
INFO:root:episode     0 complete - reward(new:83230900, avg:68463986, best:397439100)
