INFO:Worker:Starting Worker
INFO:Worker:Starting Worker
INFO:Worker:Starting Worker
INFO:Worker:Starting Worker
INFO:Worker:Starting Worker
INFO:Worker:Starting Worker
INFO:Worker:Starting Worker
INFO:root:episode     0 complete - reward(new:40161600, avg:34213880, best:78780400)
INFO:root:episode     0 complete - reward(new:40161600, avg:34273357, best:78780400)
INFO:root:episode     0 complete - reward(new:40161600, avg:34332240, best:78780400)
INFO:root:episode     0 complete - reward(new:40161600, avg:34390533, best:78780400)
INFO:root:episode     0 complete - reward(new:40161600, avg:34448244, best:78780400)
INFO:root:episode     0 complete - reward(new:40161600, avg:34505377, best:78780400)
INFO:root:episode     0 complete - reward(new:40161600, avg:34561940, best:78780400)
INFO:root:episode     0 complete - reward(new:40161600, avg:34617936, best:78780400)
INFO:root:episode     0 complete - reward(new:40161600, avg:34673373, best:78780400)
INFO:root:episode     0 complete - reward(new:40161600, avg:34728255, best:78780400)
INFO:root:episode     0 complete - reward(new:40161600, avg:34782589, best:78780400)
INFO:root:episode     0 complete - reward(new:40161600, avg:34836379, best:78780400)
INFO:root:episode     0 complete - reward(new:40161600, avg:34889631, best:78780400)
INFO:root:episode     0 complete - reward(new:40161600, avg:34942351, best:78780400)
INFO:root:episode     0 complete - reward(new:40161600, avg:34994543, best:78780400)
INFO:root:episode     0 complete - reward(new:40161600, avg:35046214, best:78780400)
INFO:root:episode     0 complete - reward(new:40161600, avg:35097367, best:78780400)
INFO:root:episode     0 complete - reward(new:40161600, avg:35148010, best:78780400)
INFO:root:episode     0 complete - reward(new:40161600, avg:35198146, best:78780400)
INFO:root:episode     0 complete - reward(new:40161600, avg:35247780, best:78780400)
INFO:root:episode     0 complete - reward(new:40161600, avg:35296918, best:78780400)
INFO:root:episode     0 complete - reward(new:40161600, avg:35345565, best:78780400)
INFO:root:episode     0 complete - reward(new:40161600, avg:35393726, best:78780400)
INFO:root:episode     0 complete - reward(new:40161600, avg:35441404, best:78780400)
INFO:root:episode     0 complete - reward(new:40161600, avg:35488606, best:78780400)
INFO:root:episode     0 complete - reward(new:40161600, avg:35535336, best:78780400)
INFO:root:episode     0 complete - reward(new:40161600, avg:35581599, best:78780400)
INFO:root:episode     0 complete - reward(new:40161600, avg:35627399, best:78780400)
INFO:root:episode     0 complete - reward(new:40161600, avg:35672741, best:78780400)
INFO:root:episode     0 complete - reward(new:40161600, avg:35717630, best:78780400)
INFO:root:episode     0 complete - reward(new:40161600, avg:35762069, best:78780400)
INFO:root:episode     0 complete - reward(new:40161600, avg:35806065, best:78780400)
INFO:root:episode     0 complete - reward(new:40161600, avg:35849620, best:78780400)
INFO:root:episode     0 complete - reward(new:40161600, avg:35892740, best:78780400)
INFO:root:episode     0 complete - reward(new:40161600, avg:35935428, best:78780400)
INFO:root:episode     0 complete - reward(new:40161600, avg:35977690, best:78780400)
INFO:root:episode     0 complete - reward(new:40161600, avg:36019529, best:78780400)
INFO:root:episode     0 complete - reward(new:40161600, avg:36060950, best:78780400)
INFO:root:episode     0 complete - reward(new:40161600, avg:36101956, best:78780400)
INFO:root:episode     0 complete - reward(new:40161600, avg:36142553, best:78780400)
INFO:root:episode     0 complete - reward(new:40161600, avg:36182743, best:78780400)
INFO:root:episode     0 complete - reward(new:40161600, avg:36222532, best:78780400)
INFO:root:episode     0 complete - reward(new:40161600, avg:36261922, best:78780400)
INFO:root:episode     0 complete - reward(new:40161600, avg:36300919, best:78780400)
INFO:root:episode     0 complete - reward(new:40161600, avg:36339526, best:78780400)
